username,country,country_code,year,country_year,index_measure,q1_macro_appointment_procedures_ind_measure,q1_micro_appointment_judges_ind_measure,q1_micro_appointment_court_presidents_ind_measure,q1_micro_appointment_veto_ind_measure,q1_macro_selection_criteria_ind_measure,q1_micro_selection_predetermined_law_ind_measure,q1_micro_selection_intl_standards_ind_measure,q1_micro_transparency_appeal_ind_measure,q1_macro_professional_rights_ind_measure,q1_micro_judge_tenure_ind_measure,q1_micro_judge_immunity_ind_measure,q1_micro_judge_salary_ind_measure,q1_macro_professional_obligations_ind_measure,q1_micro_disciplinary_proceedings_law_ind_measure,q1_micro_disciplinary_proceedings_actors_ind_measure,q1_micro_conflict_recusal_evaluation_ind_measure,q1_macro_judicial_administration_ind_measure,q1_micro_judicial_self_governance_bodies_ind_measure,q1_micro_judicial_self_governance_competences_ind_measure,q1_micro_courts_administration_ind_measure
ALB33wGG5n,Albania,ALA,2000,Albania_2000,0.52,0.55,0.33,0.33,1.0,0.5,0.67,0.75,0.08,0.42,0.5,0.75,0.0,0.65,0.62,0.67,0.67,0.5,0.5,0.0,1.0
ALB33wGG5n,Albania,ALA,2001,Albania_2001,0.52,0.55,0.33,0.33,1.0,0.5,0.67,0.75,0.08,0.42,0.5,0.75,0.0,0.65,0.62,0.67,0.67,0.5,0.5,0.0,1.0
ALB33wGG5n,Albania,ALA,2002,Albania_2002,0.52,0.55,0.33,0.33,1.0,0.5,0.67,0.75,0.08,0.42,0.5,0.75,0.0,0.65,0.62,0.67,0.67,0.5,0.5,0.0,1.0
ALB33wGG5n,Albania,ALA,2003,Albania_2003,0.52,0.55,0.33,0.33,1.0,0.5,0.67,0.75,0.08,0.42,0.5,0.75,0.0,0.65,0.62,0.67,0.67,0.5,0.5,0.0,1.0
ALB33wGG5n,Albania,ALA,2004,Albania_2004,0.55,0.55,0.33,0.33,1.0,0.5,0.67,0.75,0.08,0.42,0.5,0.75,0.0,0.76,0.62,0.67,1.0,0.5,0.5,0.0,1.0
ALB33wGG5n,Albania,ALA,2005,Albania_2005,0.55,0.55,0.33,0.33,1.0,0.5,0.67,0.75,0.08,0.42,0.5,0.75,0.0,0.76,0.62,0.67,1.0,0.5,0.5,0.0,1.0
ALB33wGG5n,Albania,ALA,2006,Albania_2006,0.55,0.55,0.33,0.33,1.0,0.5,0.67,0.75,0.08,0.42,0.5,0.75,0.0,0.76,0.62,0.67,1.0,0.5,0.5,0.0,1.0
ALB33wGG5n,Albania,ALA,2007,Albania_2007,0.53,0.55,0.33,0.33,1.0,0.42,0.67,0.5,0.08,0.42,0.5,0.75,0.0,0.76,0.62,0.67,1.0,0.5,0.5,0.0,1.0
ALB33wGG5n,Albania,ALA,2008,Albania_2008,0.58,0.55,0.33,0.33,1.0,0.61,1.0,0.75,0.08,0.5,0.5,0.5,0.5,0.76,0.62,0.67,1.0,0.5,0.5,0.0,1.0
ALB33wGG5n,Albania,ALA,2009,Albania_2009,0.58,0.55,0.33,0.33,1.0,0.61,1.0,0.75,0.08,0.5,0.5,0.5,0.5,0.76,0.62,0.67,1.0,0.5,0.5,0.0,1.0
