username,country,country_code,question_no,uid,year,answer,value_na,value
ARM22B68um,Armenia,ARM,1,q2c1_apjuac,2000,"Unequal div. with predom. influence of the legislature [0.67]",0.67,0.67
ARM22B68um,Armenia,ARM,1,q2c1_apjuac,2001,"Unequal div. with predom. influence of the legislature [0.67]",0.67,0.67
ARM22B68um,Armenia,ARM,1,q2c1_apjuac,2002,"Unequal div. with predom. influence of the legislature [0.67]",0.67,0.67
ARM22B68um,Armenia,ARM,1,q2c1_apjuac,2003,"Unequal div. with predom. influence of the legislature [0.67]",0.67,0.67
ARM22B68um,Armenia,ARM,1,q2c1_apjuac,2004,"Unequal div. with predom. influence of the legislature [0.67]",0.67,0.67
ARM22B68um,Armenia,ARM,1,q2c1_apjuac,2005,"Unequal div. with predom. influence of the legislature [0.67]",0.67,0.67
ARM22B68um,Armenia,ARM,1,q2c1_apjuac,2006,"Unequal div. with predom. influence of the legislature [0.67]",0.67,0.67
ARM22B68um,Armenia,ARM,1,q2c1_apjuac,2007,"Unequal div. with predom. influence of the legislature [0.67]",0.67,0.67
ARM22B68um,Armenia,ARM,1,q2c1_apjuac,2008,"Unequal div. with predom. influence of the legislature [0.67]",0.67,0.67
ARM22B68um,Armenia,ARM,1,q2c1_apjuac,2009,"Unequal div. with predom. influence of the legislature [0.67]",0.67,0.67
ARM22B68um,Armenia,ARM,1,q2c1_apjuac,2010,"Unequal div. with predom. influence of the legislature [0.67]",0.67,0.67
ARM22B68um,Armenia,ARM,1,q2c1_apjuac,2011,"Unequal div. with predom. influence of the legislature [0.67]",0.67,0.67
ARM22B68um,Armenia,ARM,1,q2c1_apjuac,2012,"Unequal div. with predom. influence of the legislature [0.67]",0.67,0.67
ARM22B68um,Armenia,ARM,1,q2c1_apjuac,2013,"Unequal div. with predom. influence of the legislature [0.67]",0.67,0.67
ARM22B68um,Armenia,ARM,1,q2c1_apjuac,2014,"Unequal div. with predom. influence of the legislature [0.67]",0.67,0.67
ARM22B68um,Armenia,ARM,1,q2c1_apjuac,2015,"Unequal div. with predom. influence of the legislature [0.67]",0.67,0.67
ARM22B68um,Armenia,ARM,1,q2c1_apjuac,2016,"Excl. qualified majority of parliament [1]",1,1
ARM22B68um,Armenia,ARM,1,q2c1_apjuac,2017,"Excl. qualified majority of parliament [1]",1,1
ARM22B68um,Armenia,ARM,1,q2c1_apjuac,2018,"Excl. qualified majority of parliament [1]",1,1
ARM22B68um,Armenia,ARM,1,q2c1_apjuac,2019,"Excl. qualified majority of parliament [1]",1,1
ARM22B68um,Armenia,ARM,1,q2c1_apjuac,2020,"Excl. qualified majority of parliament [1]",1,1
ARM22B68um,Armenia,ARM,1,q2c1_apjuac,2021,"Excl. qualified majority of parliament [1]",1,1
